degree,gamma,coef0,C,class_weight,kernel,true_positive,false_positive,true_negative,false_negative
5.0,1.156925355176084e-05,0.0,0.1,balanced,poly,309,1424,164,28
5.0,1.156925355176084e-05,1.0,0.1,balanced,poly,218,955,633,119
5.0,0.0001983713753468722,0.0,0.1,balanced,poly,134,637,951,203
5.0,0.0001983713753468722,1.0,0.1,balanced,poly,309,494,1094,28
5.0,0.003401360544217687,0.0,0.1,balanced,poly,334,1342,246,3
5.0,0.003401360544217687,1.0,0.1,balanced,poly,263,160,1428,74
5.0,0.05832118435198043,0.0,0.1,balanced,poly,262,384,1204,75
5.0,0.05832118435198043,1.0,0.1,balanced,poly,221,136,1452,116
5.0,1.0,0.0,0.1,balanced,poly,263,391,1197,74
5.0,1.0,1.0,0.1,balanced,poly,266,346,1242,71
,1.156925355176084e-05,,0.1,balanced,rbf,224,1123,465,113
,0.0001983713753468722,,0.1,balanced,rbf,312,604,984,25
,0.003401360544217687,,0.1,balanced,rbf,279,301,1287,58
,0.05832118435198043,,0.1,balanced,rbf,229,1117,471,108
,1.0,,0.1,balanced,rbf,242,1106,482,95
,,,1.0,balanced,linear,213,278,1310,124
2.0,1.156925355176084e-05,0.0,1.0,balanced,poly,263,1277,311,74
2.0,1.156925355176084e-05,1.0,1.0,balanced,poly,316,678,910,21
2.0,0.0001983713753468722,0.0,1.0,balanced,poly,337,1579,9,0
2.0,0.0001983713753468722,1.0,1.0,balanced,poly,294,382,1206,43
2.0,0.003401360544217687,0.0,1.0,balanced,poly,259,218,1370,78
2.0,0.003401360544217687,1.0,1.0,balanced,poly,262,217,1371,75
2.0,0.05832118435198043,0.0,1.0,balanced,poly,205,135,1453,132
2.0,0.05832118435198043,1.0,1.0,balanced,poly,218,121,1467,119
2.0,1.0,0.0,1.0,balanced,poly,205,121,1467,132
2.0,1.0,1.0,1.0,balanced,poly,208,113,1475,129
3.0,1.156925355176084e-05,0.0,1.0,balanced,poly,234,1114,474,103
3.0,1.156925355176084e-05,1.0,1.0,balanced,poly,312,612,976,25
3.0,0.0001983713753468722,0.0,1.0,balanced,poly,300,1433,155,37
3.0,0.0001983713753468722,1.0,1.0,balanced,poly,294,360,1228,43
3.0,0.003401360544217687,0.0,1.0,balanced,poly,236,197,1391,101
3.0,0.003401360544217687,1.0,1.0,balanced,poly,248,149,1439,89
3.0,0.05832118435198043,0.0,1.0,balanced,poly,230,185,1403,107
3.0,0.05832118435198043,1.0,1.0,balanced,poly,218,115,1473,119
3.0,1.0,0.0,1.0,balanced,poly,231,173,1415,106
3.0,1.0,1.0,1.0,balanced,poly,229,182,1406,108
4.0,1.156925355176084e-05,0.0,1.0,balanced,poly,266,1275,313,71
4.0,1.156925355176084e-05,1.0,1.0,balanced,poly,313,598,990,24
4.0,0.0001983713753468722,0.0,1.0,balanced,poly,190,965,623,147
4.0,0.0001983713753468722,1.0,1.0,balanced,poly,294,341,1247,43
4.0,0.003401360544217687,0.0,1.0,balanced,poly,294,568,1020,43
4.0,0.003401360544217687,1.0,1.0,balanced,poly,238,120,1468,99
4.0,0.05832118435198043,0.0,1.0,balanced,poly,185,111,1477,152
4.0,0.05832118435198043,1.0,1.0,balanced,poly,215,102,1486,122
4.0,1.0,0.0,1.0,balanced,poly,185,121,1467,152
4.0,1.0,1.0,1.0,balanced,poly,191,119,1469,146
5.0,1.156925355176084e-05,0.0,1.0,balanced,poly,270,1271,317,67
5.0,1.156925355176084e-05,1.0,1.0,balanced,poly,311,571,1017,26
5.0,0.0001983713753468722,0.0,1.0,balanced,poly,134,638,950,203
5.0,0.0001983713753468722,1.0,1.0,balanced,poly,296,324,1264,41
5.0,0.003401360544217687,0.0,1.0,balanced,poly,297,557,1031,40
