scale,gamma,C,kernel,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
1,1.156925355176084e-05,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.0001983713753468722,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.003401360544217687,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,0.05832118435198043,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,1.0,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.156925355176084e-05,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.0001983713753468722,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.003401360544217687,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,0.05832118435198043,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.0,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.156925355176084e-05,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.0001983713753468722,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.003401360544217687,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,0.05832118435198043,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.0,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.156925355176084e-05,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.0001983713753468722,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.003401360544217687,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,0.05832118435198043,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.0,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.156925355176084e-05,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.0001983713753468722,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.003401360544217687,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,0.05832118435198043,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.0,0.1,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,1.156925355176084e-05,1.0,precomputed,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
1,0.0001983713753468722,1.0,precomputed,25,21,1567,312,0.13054830287206268,0.9039515431208538,0.5172499229964582
1,0.003401360544217687,1.0,precomputed,80,94,1494,257,0.3131115459882583,0.894878706199461,0.6039951260938596
1,0.05832118435198043,1.0,precomputed,19,2,1586,318,0.10614525139664804,0.9083619702176403,0.5072536108071442
1,1.0,1.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.156925355176084e-05,1.0,precomputed,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
10,0.0001983713753468722,1.0,precomputed,3,8,1580,334,0.017241379310344827,0.9023415191319246,0.45979144922113474
10,0.003401360544217687,1.0,precomputed,50,85,1503,287,0.211864406779661,0.8898756660746003,0.5508700364271306
10,0.05832118435198043,1.0,precomputed,24,4,1584,313,0.13150684931506848,0.909038737446198,0.5202727933806333
10,1.0,1.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.156925355176084e-05,1.0,precomputed,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
100,0.0001983713753468722,1.0,precomputed,2,7,1581,335,0.011560693641618497,0.9023972602739726,0.45697897695779555
100,0.003401360544217687,1.0,precomputed,48,86,1502,289,0.20382165605095542,0.8890204202426754,0.5464210381468154
100,0.05832118435198043,1.0,precomputed,24,6,1582,313,0.1307901907356948,0.9084122882572495,0.5196012394964722
100,1.0,1.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.156925355176084e-05,1.0,precomputed,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
1000,0.0001983713753468722,1.0,precomputed,2,7,1581,335,0.011560693641618497,0.9023972602739726,0.45697897695779555
1000,0.003401360544217687,1.0,precomputed,65,90,1498,272,0.26422764227642276,0.8921977367480644,0.5782126895122436
1000,0.05832118435198043,1.0,precomputed,24,6,1582,313,0.1307901907356948,0.9084122882572495,0.5196012394964722
1000,1.0,1.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.156925355176084e-05,1.0,precomputed,0,2,1586,337,0.0,0.903446311592139,0.4517231557960695
10000,0.0001983713753468722,1.0,precomputed,2,7,1581,335,0.011560693641618497,0.9023972602739726,0.45697897695779555
10000,0.003401360544217687,1.0,precomputed,65,90,1498,272,0.26422764227642276,0.8921977367480644,0.5782126895122436
10000,0.05832118435198043,1.0,precomputed,24,6,1582,313,0.1307901907356948,0.9084122882572495,0.5196012394964722
10000,1.0,1.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,1.156925355176084e-05,10.0,precomputed,11,10,1578,326,0.061452513966480445,0.9037800687285223,0.4826162913475014
1,0.0001983713753468722,10.0,precomputed,71,181,1407,266,0.24108658743633277,0.8629254829806807,0.5520060352085068
1,0.003401360544217687,10.0,precomputed,103,177,1411,234,0.3338735818476499,0.8728734921125889,0.6033735369801194
1,0.05832118435198043,10.0,precomputed,29,3,1585,308,0.15718157181571815,0.9106578569376615,0.5339197143766898
1,1.0,10.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.156925355176084e-05,10.0,precomputed,2,4,1584,335,0.011661807580174927,0.9033361847733106,0.4574989961767427
10,0.0001983713753468722,10.0,precomputed,65,168,1420,272,0.22807017543859648,0.8658536585365854,0.5469619169875909
10,0.003401360544217687,10.0,precomputed,94,221,1367,243,0.2883435582822086,0.8549093183239524,0.5716264383030805
10,0.05832118435198043,10.0,precomputed,35,14,1574,302,0.18134715025906736,0.9087759815242494,0.5450615658916584
10,1.0,10.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.156925355176084e-05,10.0,precomputed,1,4,1584,336,0.005847953216374269,0.9030786773090079,0.4544633152626911
100,0.0001983713753468722,10.0,precomputed,61,178,1410,276,0.21180555555555555,0.8613317043372022,0.5365686299463789
100,0.003401360544217687,10.0,precomputed,124,254,1334,213,0.34685314685314683,0.85103668261563,0.5989449147343884
100,0.05832118435198043,10.0,precomputed,33,16,1572,304,0.17098445595854922,0.9076212471131639,0.5393028515358566
100,1.0,10.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.156925355176084e-05,10.0,precomputed,1,4,1584,336,0.005847953216374269,0.9030786773090079,0.4544633152626911
1000,0.0001983713753468722,10.0,precomputed,64,178,1410,273,0.22107081174438686,0.8621216753286457,0.5415962435365163
1000,0.003401360544217687,10.0,precomputed,118,228,1360,219,0.34553440702781846,0.8588569624250079,0.6021956847264132
1000,0.05832118435198043,10.0,precomputed,33,15,1573,304,0.17142857142857143,0.9079365079365079,0.5396825396825397
1000,1.0,10.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.156925355176084e-05,10.0,precomputed,1,4,1584,336,0.005847953216374269,0.9030786773090079,0.4544633152626911
10000,0.0001983713753468722,10.0,precomputed,64,175,1413,273,0.2222222222222222,0.8631643249847282,0.5426932736034752
10000,0.003401360544217687,10.0,precomputed,118,228,1360,219,0.34553440702781846,0.8588569624250079,0.6021956847264132
10000,0.05832118435198043,10.0,precomputed,33,15,1573,304,0.17142857142857143,0.9079365079365079,0.5396825396825397
10000,1.0,10.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1,1.156925355176084e-05,100.0,precomputed,65,168,1420,272,0.22807017543859648,0.8658536585365854,0.5469619169875909
1,0.0001983713753468722,100.0,precomputed,74,211,1377,263,0.2379421221864952,0.8531598513011153,0.5455509867438052
1,0.003401360544217687,100.0,precomputed,121,266,1322,216,0.3342541436464088,0.8458093410108766,0.5900317423286427
1,0.05832118435198043,100.0,precomputed,29,3,1585,308,0.15718157181571815,0.9106578569376615,0.5339197143766898
1,1.0,100.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10,1.156925355176084e-05,100.0,precomputed,61,152,1436,276,0.22181818181818183,0.8703030303030304,0.5460606060606061
10,0.0001983713753468722,100.0,precomputed,70,209,1379,267,0.22727272727272727,0.8528138528138528,0.54004329004329
10,0.003401360544217687,100.0,precomputed,129,425,1163,208,0.2895622895622896,0.7860763771544441,0.5378193333583668
10,0.05832118435198043,100.0,precomputed,35,14,1574,302,0.18134715025906736,0.9087759815242494,0.5450615658916584
10,1.0,100.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
100,1.156925355176084e-05,100.0,precomputed,60,149,1439,277,0.21978021978021978,0.8710653753026635,0.5454227975414416
100,0.0001983713753468722,100.0,precomputed,68,208,1380,269,0.22185970636215335,0.8526413345690455,0.5372505204655994
100,0.003401360544217687,100.0,precomputed,132,248,1340,205,0.3682008368200837,0.8554101500159591,0.6118054934180214
100,0.05832118435198043,100.0,precomputed,33,16,1572,304,0.17098445595854922,0.9076212471131639,0.5393028515358566
100,1.0,100.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
1000,1.156925355176084e-05,100.0,precomputed,59,149,1439,278,0.21651376146788992,0.8708018154311649,0.5436577884495274
1000,0.0001983713753468722,100.0,precomputed,66,208,1380,271,0.2160392798690671,0.8521148502624267,0.5340770650657469
1000,0.003401360544217687,100.0,precomputed,129,267,1321,208,0.3519781718963165,0.847609881296118,0.5997940265962173
1000,0.05832118435198043,100.0,precomputed,33,15,1573,304,0.17142857142857143,0.9079365079365079,0.5396825396825397
1000,1.0,100.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
10000,1.156925355176084e-05,100.0,precomputed,59,150,1438,278,0.21611721611721613,0.8704600484261501,0.5432886322716831
10000,0.0001983713753468722,100.0,precomputed,66,209,1379,271,0.21568627450980393,0.8517603458925262,0.5337233102011651
10000,0.003401360544217687,100.0,precomputed,128,268,1320,209,0.34924965893587995,0.8469682386910491,0.5981089488134645
10000,0.05832118435198043,100.0,precomputed,33,15,1573,304,0.17142857142857143,0.9079365079365079,0.5396825396825397
10000,1.0,100.0,precomputed,0,0,1588,337,0.0,0.9040705949331056,0.4520352974665528
