target,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
Beach,219,149,1425,132,0.6091794158553546,0.9102523155541361,0.7597158657047454
Sunset,212,61,1588,64,0.7723132969034608,0.9621326870645259,0.8672229919839933
FallFoliage,213,133,1467,112,0.6348733233979136,0.922931739540736,0.7789025314693248
Field,263,108,1470,84,0.7325905292479109,0.9386973180076629,0.8356439236277868
Mountain,202,189,1309,225,0.4938875305623472,0.8634564643799473,0.6786719974711473
Urban,180,151,1437,157,0.5389221556886228,0.9032055311125079,0.7210638434005654
