transformation,kernel,penalty,loss,C,class_weight,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
none,linear,l1,squared_hinge,0.01,balanced,281,355,1233,56,0.5775950668036999,0.8571428571428571,0.7173689619732785
none,linear,l2,hinge,0.01,balanced,280,325,1263,57,0.5944798301486199,0.8686382393397524,0.7315590347441862
none,linear,l2,squared_hinge,0.01,balanced,258,288,1300,79,0.5843714609286523,0.8763060330299967,0.7303387469793245
none,linear,l1,squared_hinge,0.1,balanced,260,276,1312,77,0.5956471935853379,0.8814242526032919,0.7385357230943149
none,linear,l2,hinge,0.1,balanced,256,276,1312,81,0.5891829689298044,0.8802415296880242,0.7347122493089142
none,linear,l2,squared_hinge,0.1,balanced,245,276,1312,92,0.5710955710955711,0.8770053475935828,0.7240504593445769
none,linear,l1,squared_hinge,1.0,balanced,234,266,1322,103,0.5591397849462365,0.8775307002987056,0.7183352426224711
none,linear,l2,hinge,1.0,balanced,231,268,1320,106,0.5526315789473685,0.8759124087591241,0.7142719938532462
none,linear,l2,squared_hinge,1.0,balanced,228,268,1320,109,0.5474189675870348,0.8750414318859795,0.7112301997365071
none,linear,l1,squared_hinge,10.0,balanced,223,266,1322,114,0.5399515738498789,0.8743386243386243,0.7071450990942516
none,linear,l2,hinge,10.0,balanced,219,290,1298,118,0.5177304964539007,0.8641810918774967,0.6909557941656987
none,linear,l2,squared_hinge,10.0,balanced,223,268,1320,114,0.538647342995169,0.8735936465916612,0.7061204947934151
none,linear,l1,squared_hinge,100.0,balanced,223,268,1320,114,0.538647342995169,0.8735936465916612,0.7061204947934151
none,linear,l2,hinge,100.0,balanced,205,272,1316,132,0.5036855036855037,0.8669301712779973,0.6853078374817505
none,linear,l2,squared_hinge,100.0,balanced,223,268,1320,114,0.538647342995169,0.8735936465916612,0.7061204947934151
root 4,linear,l1,squared_hinge,0.01,balanced,286,330,1258,51,0.6002098635886673,0.8684846392820159,0.7343472514353416
root 4,linear,l2,hinge,0.01,balanced,286,289,1299,51,0.6271929824561403,0.8842750170183798,0.7557339997372601
root 4,linear,l2,squared_hinge,0.01,balanced,263,250,1338,74,0.6188235294117647,0.892,0.7554117647058823
root 4,linear,l1,squared_hinge,0.1,balanced,263,235,1353,74,0.629940119760479,0.8975124378109453,0.7637262787857122
root 4,linear,l2,hinge,0.1,balanced,250,244,1344,87,0.601684717208183,0.8903610467042067,0.7460228819561948
root 4,linear,l2,squared_hinge,0.1,balanced,232,252,1336,105,0.5651644336175395,0.8821393199075602,0.7236518767625499
root 4,linear,l1,squared_hinge,1.0,balanced,227,251,1337,110,0.5570552147239264,0.8810543657331137,0.71905479022852
root 4,linear,l2,hinge,1.0,balanced,224,267,1321,113,0.5410628019323671,0.8742554599602912,0.7076591309463292
root 4,linear,l2,squared_hinge,1.0,balanced,221,251,1337,116,0.546353522867738,0.8793160144689247,0.7128347686683314
root 4,linear,l1,squared_hinge,10.0,balanced,221,250,1338,116,0.5470297029702971,0.8796844181459567,0.7133570605581269
root 4,linear,l2,hinge,10.0,balanced,219,297,1291,118,0.5134818288393904,0.8615281948615282,0.6875050118504593
root 4,linear,l2,squared_hinge,10.0,balanced,220,251,1337,117,0.5445544554455446,0.8790269559500329,0.7117907056977888
root 4,linear,l1,squared_hinge,100.0,balanced,219,250,1338,118,0.543424317617866,0.8791064388961892,0.7112653782570276
root 4,linear,l2,hinge,100.0,balanced,187,236,1352,150,0.4921052631578947,0.8750809061488674,0.6835930846533811
root 4,linear,l2,squared_hinge,100.0,balanced,219,251,1337,118,0.5427509293680297,0.8787380874137365,0.7107445083908831
PaCMAP,linear,l1,squared_hinge,0.01,balanced,285,426,1162,52,0.5438931297709924,0.8294075660242684,0.6866503478976304
PaCMAP,linear,l2,hinge,0.01,balanced,287,431,1157,50,0.5440758293838862,0.827906976744186,0.6859914030640362
PaCMAP,linear,l2,squared_hinge,0.01,balanced,279,393,1195,58,0.5530227948463825,0.8412530799014432,0.6971379373739128
PaCMAP,linear,l1,squared_hinge,0.1,balanced,279,387,1201,58,0.5563310069790628,0.8436951176677204,0.7000130623233916
PaCMAP,linear,l2,hinge,0.1,balanced,286,404,1184,51,0.5569620253164557,0.8388239461565711,0.6978929857365134
PaCMAP,linear,l2,squared_hinge,0.1,balanced,279,386,1202,58,0.5568862275449101,0.8441011235955056,0.7004936755702078
PaCMAP,linear,l1,squared_hinge,1.0,balanced,279,384,1204,58,0.558,0.8449122807017544,0.7014561403508772
PaCMAP,linear,l2,hinge,1.0,balanced,286,402,1186,51,0.5580487804878049,0.8396460176991151,0.69884739909346
PaCMAP,linear,l2,squared_hinge,1.0,balanced,279,384,1204,58,0.558,0.8449122807017544,0.7014561403508772
PaCMAP,linear,l1,squared_hinge,10.0,balanced,279,380,1208,58,0.5602409638554217,0.846531184302733,0.7033860740790774
PaCMAP,linear,l2,hinge,10.0,balanced,288,421,1167,49,0.5506692160611855,0.8323823109843081,0.6915257635227468
PaCMAP,linear,l2,squared_hinge,10.0,balanced,279,378,1210,58,0.5613682092555332,0.8473389355742297,0.7043535724148815
PaCMAP,linear,l1,squared_hinge,100.0,balanced,279,379,1209,58,0.5608040201005026,0.8469352014010508,0.7038696107507767
PaCMAP,linear,l2,hinge,100.0,balanced,270,369,1219,67,0.5532786885245902,0.848295059151009,0.7007868738377996
PaCMAP,linear,l2,squared_hinge,100.0,balanced,281,378,1210,56,0.5642570281124498,0.8479327259985985,0.7060948770555242
